epoch	train_loss	train_acc	test_loss	test_acc	width	lr	nonlin	criterion	parametrization
1	2.179733	0.233860	2.026967	0.279800	256	0.000488	relu	xent	sp
2	1.935886	0.310600	1.848852	0.340700	256	0.000488	relu	xent	sp
3	1.801047	0.363860	1.744849	0.383000	256	0.000488	relu	xent	sp
4	1.715949	0.391300	1.672328	0.405200	256	0.000488	relu	xent	sp
5	1.656741	0.414340	1.626345	0.429100	256	0.000488	relu	xent	sp
6	1.611953	0.430320	1.589887	0.441700	256	0.000488	relu	xent	sp
7	1.573647	0.444320	1.558635	0.455600	256	0.000488	relu	xent	sp
8	1.538534	0.458600	1.532864	0.462600	256	0.000488	relu	xent	sp
9	1.506679	0.470720	1.509436	0.473600	256	0.000488	relu	xent	sp
10	1.477162	0.480780	1.489984	0.479700	256	0.000488	relu	xent	sp
11	1.449912	0.490820	1.469906	0.488500	256	0.000488	relu	xent	sp
12	1.423952	0.501900	1.451779	0.492200	256	0.000488	relu	xent	sp
13	1.399745	0.508980	1.441811	0.495600	256	0.000488	relu	xent	sp
14	1.377227	0.517480	1.429770	0.497900	256	0.000488	relu	xent	sp
15	1.354797	0.526160	1.417703	0.501400	256	0.000488	relu	xent	sp
16	1.334329	0.533680	1.406724	0.506400	256	0.000488	relu	xent	sp
17	1.313242	0.541680	1.398542	0.508100	256	0.000488	relu	xent	sp
18	1.293928	0.548720	1.390435	0.512500	256	0.000488	relu	xent	sp
19	1.273731	0.556380	1.385203	0.509500	256	0.000488	relu	xent	sp
20	1.255572	0.561460	1.375412	0.516400	256	0.000488	relu	xent	sp
1	2.030838	0.296160	1.860239	0.351200	2048	0.000488	relu	xent	sp
2	1.787714	0.374520	1.724695	0.399900	2048	0.000488	relu	xent	sp
3	1.683319	0.410560	1.644590	0.430300	2048	0.000488	relu	xent	sp
4	1.615606	0.436180	1.591870	0.449000	2048	0.000488	relu	xent	sp
5	1.564326	0.454420	1.555086	0.456000	2048	0.000488	relu	xent	sp
6	1.520675	0.469840	1.521332	0.466900	2048	0.000488	relu	xent	sp
7	1.482175	0.484940	1.499606	0.472400	2048	0.000488	relu	xent	sp
8	1.446925	0.497080	1.475216	0.485500	2048	0.000488	relu	xent	sp
9	1.412927	0.509700	1.450834	0.491100	2048	0.000488	relu	xent	sp
10	1.381113	0.521500	1.434491	0.498800	2048	0.000488	relu	xent	sp
11	1.349619	0.532800	1.413989	0.504400	2048	0.000488	relu	xent	sp
12	1.319199	0.545160	1.405081	0.507500	2048	0.000488	relu	xent	sp
13	1.289679	0.554840	1.390663	0.512700	2048	0.000488	relu	xent	sp
14	1.261439	0.564420	1.376066	0.519600	2048	0.000488	relu	xent	sp
15	1.232647	0.576000	1.368284	0.515600	2048	0.000488	relu	xent	sp
16	1.204534	0.585040	1.353043	0.527300	2048	0.000488	relu	xent	sp
17	1.176207	0.598320	1.344998	0.528300	2048	0.000488	relu	xent	sp
18	1.149543	0.608360	1.344984	0.529000	2048	0.000488	relu	xent	sp
19	1.122745	0.617820	1.336316	0.529600	2048	0.000488	relu	xent	sp
20	1.095539	0.629220	1.327128	0.534900	2048	0.000488	relu	xent	sp
1	2.062840	0.266920	1.851708	0.339700	256	0.000977	relu	xent	sp
2	1.759811	0.379080	1.676189	0.411500	256	0.000977	relu	xent	sp
3	1.638851	0.422300	1.594503	0.441200	256	0.000977	relu	xent	sp
4	1.563895	0.449940	1.543254	0.456800	256	0.000977	relu	xent	sp
5	1.505304	0.469740	1.501459	0.474300	256	0.000977	relu	xent	sp
6	1.454673	0.488980	1.464033	0.487300	256	0.000977	relu	xent	sp
7	1.411491	0.505640	1.449735	0.488800	256	0.000977	relu	xent	sp
8	1.371608	0.518920	1.419751	0.497800	256	0.000977	relu	xent	sp
9	1.334958	0.534500	1.404375	0.503100	256	0.000977	relu	xent	sp
10	1.302396	0.544400	1.394926	0.510100	256	0.000977	relu	xent	sp
11	1.269746	0.557440	1.383559	0.513500	256	0.000977	relu	xent	sp
12	1.240353	0.567960	1.375561	0.518500	256	0.000977	relu	xent	sp
13	1.210359	0.578920	1.377434	0.520000	256	0.000977	relu	xent	sp
14	1.182492	0.590000	1.363851	0.518600	256	0.000977	relu	xent	sp
15	1.155541	0.597840	1.355650	0.531200	256	0.000977	relu	xent	sp
16	1.128687	0.608240	1.370892	0.524800	256	0.000977	relu	xent	sp
17	1.104031	0.617640	1.381344	0.517800	256	0.000977	relu	xent	sp
18	1.078990	0.627120	1.363615	0.525700	256	0.000977	relu	xent	sp
19	1.051722	0.636160	1.361297	0.525300	256	0.000977	relu	xent	sp
20	1.028557	0.645340	1.368641	0.528000	256	0.000977	relu	xent	sp
1	1.919344	0.329180	1.733569	0.393200	2048	0.000977	relu	xent	sp
2	1.660994	0.418240	1.601422	0.440400	2048	0.000977	relu	xent	sp
3	1.554727	0.457580	1.525406	0.466800	2048	0.000977	relu	xent	sp
4	1.478823	0.482420	1.479038	0.484800	2048	0.000977	relu	xent	sp
5	1.415548	0.507580	1.441834	0.493500	2048	0.000977	relu	xent	sp
6	1.358912	0.528860	1.414880	0.501500	2048	0.000977	relu	xent	sp
7	1.304677	0.549260	1.383059	0.512900	2048	0.000977	relu	xent	sp
8	1.252890	0.567560	1.397364	0.505600	2048	0.000977	relu	xent	sp
9	1.205386	0.586220	1.355531	0.521400	2048	0.000977	relu	xent	sp
10	1.159442	0.600860	1.342657	0.526200	2048	0.000977	relu	xent	sp
11	1.112499	0.619180	1.337857	0.528900	2048	0.000977	relu	xent	sp
12	1.068655	0.635180	1.328475	0.530000	2048	0.000977	relu	xent	sp
13	1.020894	0.652060	1.335707	0.531800	2048	0.000977	relu	xent	sp
14	0.976764	0.669600	1.342817	0.528500	2048	0.000977	relu	xent	sp
