"Step","cifar10-mlp-sp-default-sgd-h1024-lr0.5 - loss","cifar10-mlp-sp-default-sgd-h1024-lr0.5 - loss__MIN","cifar10-mlp-sp-default-sgd-h1024-lr0.5 - loss__MAX","cifar10-mlp-sp-default-sgd-h1024-lr0.25 - loss","cifar10-mlp-sp-default-sgd-h1024-lr0.25 - loss__MIN","cifar10-mlp-sp-default-sgd-h1024-lr0.25 - loss__MAX","cifar10-mlp-sp-default-sgd-h1024-lr0.125 - loss","cifar10-mlp-sp-default-sgd-h1024-lr0.125 - loss__MIN","cifar10-mlp-sp-default-sgd-h1024-lr0.125 - loss__MAX","cifar10-mlp-sp-default-sgd-h1024-lr0.0625 - loss","cifar10-mlp-sp-default-sgd-h1024-lr0.0625 - loss__MIN","cifar10-mlp-sp-default-sgd-h1024-lr0.0625 - loss__MAX","cifar10-mlp-sp-default-sgd-h1024-lr0.0312 - loss","cifar10-mlp-sp-default-sgd-h1024-lr0.0312 - loss__MIN","cifar10-mlp-sp-default-sgd-h1024-lr0.0312 - loss__MAX","cifar10-mlp-sp-default-sgd-h1024-lr0.0156 - loss","cifar10-mlp-sp-default-sgd-h1024-lr0.0156 - loss__MIN","cifar10-mlp-sp-default-sgd-h1024-lr0.0156 - loss__MAX","cifar10-mlp-sp-default-sgd-h1024-lr0.00781 - loss","cifar10-mlp-sp-default-sgd-h1024-lr0.00781 - loss__MIN","cifar10-mlp-sp-default-sgd-h1024-lr0.00781 - loss__MAX","cifar10-mlp-sp-default-sgd-h1024-lr0.0039 - loss","cifar10-mlp-sp-default-sgd-h1024-lr0.0039 - loss__MIN","cifar10-mlp-sp-default-sgd-h1024-lr0.0039 - loss__MAX","cifar10-mlp-sp-default-sgd-h1024-lr0.00195 - loss","cifar10-mlp-sp-default-sgd-h1024-lr0.00195 - loss__MIN","cifar10-mlp-sp-default-sgd-h1024-lr0.00195 - loss__MAX","cifar10-mlp-sp-default-sgd-h1024-lr0.000976 - loss","cifar10-mlp-sp-default-sgd-h1024-lr0.000976 - loss__MIN","cifar10-mlp-sp-default-sgd-h1024-lr0.000976 - loss__MAX"
"0","2.295884609222412","2.295884609222412","2.295884609222412","2.3162975311279297","2.3162975311279297","2.3162975311279297","2.328474283218384","2.328474283218384","2.328474283218384","2.324863910675049","2.324863910675049","2.324863910675049","2.3099851608276367","2.3099851608276367","2.3099851608276367","2.3259921073913574","2.3259921073913574","2.3259921073913574","2.2952470779418945","2.2952470779418945","2.2952470779418945","2.3463692665100098","2.3463692665100098","2.3463692665100098","2.378972053527832","2.378972053527832","2.378972053527832","2.331807851791382","2.331807851791382","2.331807851791382"
"1","NaN","","","2.357182025909424","2.357182025909424","2.357182025909424","1.892296314239502","1.892296314239502","1.892296314239502","1.955899953842163","1.955899953842163","1.955899953842163","1.6296725273132324","1.6296725273132324","1.6296725273132324","1.565916895866394","1.565916895866394","1.565916895866394","1.665973424911499","1.665973424911499","1.665973424911499","1.772082805633545","1.772082805633545","1.772082805633545","2.012127637863159","2.012127637863159","2.012127637863159","2.0156428813934326","2.0156428813934326","2.0156428813934326"
"2","NaN","","","2.170027256011963","2.170027256011963","2.170027256011963","2.377140998840332","2.377140998840332","2.377140998840332","1.681188702583313","1.681188702583313","1.681188702583313","1.5308616161346436","1.5308616161346436","1.5308616161346436","1.6923754215240479","1.6923754215240479","1.6923754215240479","1.6264432668685913","1.6264432668685913","1.6264432668685913","1.7333824634552002","1.7333824634552002","1.7333824634552002","1.7588268518447876","1.7588268518447876","1.7588268518447876","2.0141921043395996","2.0141921043395996","2.0141921043395996"
"3","NaN","","","2.2664716243743896","2.2664716243743896","2.2664716243743896","2.0797104835510254","2.0797104835510254","2.0797104835510254","1.6805140972137451","1.6805140972137451","1.6805140972137451","1.493120789527893","1.493120789527893","1.493120789527893","1.6934044361114502","1.6934044361114502","1.6934044361114502","1.9236253499984741","1.9236253499984741","1.9236253499984741","1.5398240089416504","1.5398240089416504","1.5398240089416504","1.786482572555542","1.786482572555542","1.786482572555542","1.7011293172836304","1.7011293172836304","1.7011293172836304"
"4","NaN","","","2.360301971435547","2.360301971435547","2.360301971435547","2.30534291267395","2.30534291267395","2.30534291267395","1.9903976917266846","1.9903976917266846","1.9903976917266846","1.687978982925415","1.687978982925415","1.687978982925415","1.6230554580688477","1.6230554580688477","1.6230554580688477","1.2424577474594116","1.2424577474594116","1.2424577474594116","1.1996452808380127","1.1996452808380127","1.1996452808380127","1.5851376056671143","1.5851376056671143","1.5851376056671143","1.8779882192611694","1.8779882192611694","1.8779882192611694"
"5","NaN","","","2.073195457458496","2.073195457458496","2.073195457458496","2.2489306926727295","2.2489306926727295","2.2489306926727295","1.7009094953536987","1.7009094953536987","1.7009094953536987","1.3838987350463867","1.3838987350463867","1.3838987350463867","1.7683964967727661","1.7683964967727661","1.7683964967727661","1.422398328781128","1.422398328781128","1.422398328781128","1.5953590869903564","1.5953590869903564","1.5953590869903564","1.718614101409912","1.718614101409912","1.718614101409912","1.6164603233337402","1.6164603233337402","1.6164603233337402"
"6","NaN","","","2.196286678314209","2.196286678314209","2.196286678314209","2.0891144275665283","2.0891144275665283","2.0891144275665283","1.6424717903137207","1.6424717903137207","1.6424717903137207","1.582554578781128","1.582554578781128","1.582554578781128","1.303567886352539","1.303567886352539","1.303567886352539","1.4541141986846924","1.4541141986846924","1.4541141986846924","1.3877919912338257","1.3877919912338257","1.3877919912338257","1.415954828262329","1.415954828262329","1.415954828262329","1.8386372327804565","1.8386372327804565","1.8386372327804565"
"7","NaN","","","2.2184228897094727","2.2184228897094727","2.2184228897094727","2.2593865394592285","2.2593865394592285","2.2593865394592285","1.7888121604919434","1.7888121604919434","1.7888121604919434","1.39022696018219","1.39022696018219","1.39022696018219","1.323996901512146","1.323996901512146","1.323996901512146","1.330100655555725","1.330100655555725","1.330100655555725","1.3981430530548096","1.3981430530548096","1.3981430530548096","1.6107168197631836","1.6107168197631836","1.6107168197631836","1.6545276641845703","1.6545276641845703","1.6545276641845703"
"8","NaN","","","3.150045871734619","3.150045871734619","3.150045871734619","2.019476890563965","2.019476890563965","2.019476890563965","1.5511503219604492","1.5511503219604492","1.5511503219604492","1.5054523944854736","1.5054523944854736","1.5054523944854736","1.507920265197754","1.507920265197754","1.507920265197754","1.2981728315353394","1.2981728315353394","1.2981728315353394","1.4851667881011963","1.4851667881011963","1.4851667881011963","1.4983811378479004","1.4983811378479004","1.4983811378479004","1.7220455408096313","1.7220455408096313","1.7220455408096313"
"9","NaN","","","2.2357912063598633","2.2357912063598633","2.2357912063598633","2.0777997970581055","2.0777997970581055","2.0777997970581055","1.5849828720092773","1.5849828720092773","1.5849828720092773","1.4041101932525635","1.4041101932525635","1.4041101932525635","1.3548226356506348","1.3548226356506348","1.3548226356506348","1.3864405155181885","1.3864405155181885","1.3864405155181885","1.5658025741577148","1.5658025741577148","1.5658025741577148","1.5537129640579224","1.5537129640579224","1.5537129640579224","1.680143117904663","1.680143117904663","1.680143117904663"
